AREA_NAME,YEAR,CATEGORY,POLICE_INJURED_BY_CRIMINALS,POLICE_INJURED_BY_RIOTOUS_MOBS,POLICE_INJURED_IN_ACCIDENTS,POLICE_INJURED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_INJURED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_INJURED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_INJURED,POLICE_KILLED_BY_CRIMINALS,POLICE_KILLED_BY_RIOTOUS_MOBS,POLICE_KILLED_IN_ACCIDENTS,POLICE_KILLED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_KILLED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_KILLED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_KILLED
HIMACHAL PRADESH,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2001, INSPECTORS,1,0,0,0,6,0,7,1,0,0,0,4,0,5
JHARKHAND,2001, INSPECTORS,0,0,0,0,1,0,1,2,0,0,0,1,0,3
KARNATAKA,2001, INSPECTORS,1,12,0,0,0,0,13,0,0,0,0,0,0,0
KERALA,2001, INSPECTORS,0,10,0,0,0,0,10,0,0,0,0,0,0,0
LAKSHADWEEP,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2001, INSPECTORS,3,1,0,0,0,0,4,0,0,0,0,0,0,0
MAHARASHTRA,2001, INSPECTORS,1,19,1,2,0,0,23,0,0,1,0,0,0,1
MANIPUR,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2001, INSPECTORS,0,4,0,0,0,0,4,0,0,0,0,2,0,2
PUDUCHERRY,2001, INSPECTORS,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PUNJAB,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,1,0,0,0,1
RAJASTHAN,2001, INSPECTORS,1,5,0,0,0,0,6,0,0,0,0,0,0,0
SIKKIM,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2001, INSPECTORS,2,6,2,4,0,0,14,0,0,0,0,0,0,0
TRIPURA,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2001, INSPECTORS,1,3,0,0,0,0,4,0,0,0,0,0,0,0
UTTARAKHAND,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
